pidx,jhno,pno,url,status,name,yomi,spot
1,1,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/1/,国特別史跡,旧弘道館,きゅうこうどうかん,茨城県水戸市
2,1,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/5/,国史跡及び名勝,常磐公園（偕楽園）,ときわこうえん(かいらくえん),茨城県水戸市
3,1,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/8/,未指定,旧水戸彰考館跡,,茨城県水戸市
4,1,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/11/,市史跡,日新塾跡,,茨城県水戸市
5,1,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/19/,未指定,大日本史,,茨城県水戸市
6,1,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/25/,国史跡,足利学校跡（聖廟および附属建物を含む）,あしかががっこうあと（せいびょうおよびふぞくたてものをふくむ）,栃木県足利市
7,1,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/56/,国宝（書跡）,国宝漢籍『礼記正義』『尚書正義』『文選』『周易注疏』,こくほうかんせき『らいきせいぎ』『しょうしょせいぎ』『もんぜん』『しゅうえきちゅうそ』,栃木県足利市
8,1,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/59/,市指定民俗文化財,釋奠,せきてん,栃木県足利市
9,1,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/61/,国特別史跡 国宝・国重文,旧閑谷学校,きゅうしずたにがっこう,岡山県備前市
10,1,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/63/,未指定,釈菜,せきさい,岡山県備前市
11,1,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/65/,未指定,備前国和気郡井田村延原家文書,,岡山県備前市
12,1,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/67/,市史跡,熊沢蕃山宅跡,,岡山県備前市
13,1,13,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/69/,市史跡,井田跡,せいでんあと,岡山県備前市
14,1,14,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/71/,国史跡,咸宜園跡,かんぎえんあと,大分県日田市
15,1,15,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/92/,国重伝建,日田市豆田町重要伝統的建造物群保存地区,ひたしまめだまちじゅうようでんとうてきけんぞうぶつぐんほぞんちく,大分県日田市
16,1,16,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/94/,国史跡,廣瀬淡窓旧宅,ひろせたんそうきゅうたく,大分県日田市
17,1,17,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/96/,国史跡,廣瀬淡窓墓,ひろせたんそうはか,大分県日田市
18,1,18,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/98/,国重,長福寺本堂,ちょうふくじほんどう,大分県日田市
19,1,19,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/100/,未指定,桂林園跡,けいりんえんあと,大分県日田市
20,1,20,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/102/,未指定,咸宜園関係歴史資料,かんぎえんかんけいれきししりょう,大分県日田市
21,2,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/233/,国重文、ぐんま絹遺産,富沢家住宅,とみざわけじゅうたく,群馬県中之条町
22,2,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/235/,国重伝建、ぐんま絹遺産,中之条町六合赤岩伝統的建造物群保存地区,なかのじょうまちくにあかいわでんとうてきけんぞうぶつぐんほぞんちく,群馬県中之条町
23,2,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/238/,村重文、ぐんま絹遺産,永井流養蚕伝習所実習棟,,群馬県片品村
24,2,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/240/,ぐんま絹遺産,永井いと像,,群馬県片品村
25,2,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/242/,町重文、ぐんま絹遺産,旧小幡組レンガ造り倉庫,,群馬県甘楽町
26,2,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/244/,ぐんま絹遺産,甘楽町の養蚕・製糸・織物資料,,群馬県甘楽町
27,2,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/246/,ぐんま絹遺産,甘楽社小幡組由来碑,,群馬県甘楽町
28,2,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/248/,ぐんま絹遺産,白瀧神社,,群馬県桐生市
29,2,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/250/,市重文、ぐんま絹遺産,旧模範工場桐生撚糸合資会社事務所棟,,群馬県桐生市
30,2,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/252/,国重伝建、ぐんま絹遺産,桐生市桐生新町伝統的建造物群保存地区,きりゅうしきりゅうしんまちでんとうてきけんぞうぶつぐんほぞんちく,群馬県桐生市
31,2,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/254/,国登録、ぐんま絹遺産,後藤織物,ごとうおりもの,群馬県桐生市
32,2,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/256/,国登録、ぐんま絹遺産,織物参考館”紫”,おりものさんこうかんゆかり,群馬県桐生市
33,2,13,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/258/,国登録、ぐんま絹遺産,桐生織物会館旧館,きりゅうおりものかいかんきゅうかん,群馬県桐生市
34,3,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/260/,国宝・重要文化財（建造物）,瑞龍寺,ずいりゅうじ,富山県高岡市
35,3,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/262/,国指定史跡,前田利長墓所,まえだとしながぼしょ,富山県高岡市
36,3,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/264/,市指定文化財（建造物）,五福町神明社本殿,ごふくまちしんめいしゃほんでん,富山県高岡市
37,3,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/266/,市指定文化財（建造物）,大手町神明社拝殿,おおてまちしんめいしゃはいでん,富山県高岡市
38,3,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/268/,国指定史跡,高岡城跡,たかおかじょうあと,富山県高岡市
