pidx,jhno,pno,url,status,name,yomi,spot,lat,lng,zoom,image
241,9,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/443/,未指定,黄檗山萬福寺門前の「駒蹄影園跡碑」,,京都府宇治市,34.913950142637,135.80476490187198,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/10/500x343_2ae395417f98b42be3d881be00011165_7a7f5053e8b717eb6ea43202e16965896ed384ea.jpg
242,9,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/445/,国重要文化的景観,「奥ノ山」茶園,「おくのやま」ちゃえん,京都府宇治市,34.88660639854748,135.80469631163942,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/10/500x343_2ae395417f98b42be3d881be00011165_da164fb32ffba337b6de1293ade1df6a931e236c.jpg
243,9,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/447/,国重要文化的景観、府指定名勝、府文化財環境保全地区、市指定有形文化財,興聖寺,こうしょうじ,京都府宇治市,34.8900269,135.81369440000003,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/10/500x343_2ae395417f98b42be3d881be00011165_a970ae51fa12709997302ab2bff749dbacb33e1e.jpg
244,9,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/449/,国重要文化的景観,茶陶「朝日焼」,ちゃとう「あさひやき」,京都府宇治市,34.88996089999999,135.81060690000004,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/10/500x343_2ae395417f98b42be3d881be00011165_2621071433461204b4be3e0742667041f3f7ddd8.jpg
245,9,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/451/,国重要文化的景観,白川地区の茶畑,しらかわちくのちゃばたけ,京都府宇治市,,,,
246,9,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/453/,国重要文化的景観,中宇治の街並み,なかうじのまちなみ,京都府宇治市,,,,
247,9,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/455/,国重要文化的景観、重文(浮島十三重塔),宇治川,うじがわ,京都府宇治市,,,,
248,9,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/457/,国重要文化的景観、重文(宇治橋断碑),宇治橋,うじばし,京都府宇治市,34.892943500000015,135.80623439999997,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/10/500x343_2ae395417f98b42be3d881be00011165_bedaa7e7df040f12150ec817419a32ac24f6096f.jpg
249,9,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/459/,国重要文化的景観,通圓茶屋,つうえんちゃや,京都府宇治市,34.89328230000004,135.80726639999997,20,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/10/500x343_2ae395417f98b42be3d881be00011165_4fef2b9748efa3cac134df9a5732b5615aae49a1.jpg
250,9,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/461/,国重要文化的景観、重文(宇治橋断碑、浮島十三重塔),橋寺放生院,はしでらほうじょういん,京都府宇治市,34.89326300000002,135.807953,20,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/10/500x343_2ae395417f98b42be3d881be00011165_f46cdd9951fb23d7ba23fa2aab7fae082f4c1ae5.jpg
